,content,score,timestamp
57,i had a wonderful experience on this app. highly recommended,5,2025-02-03 18:01:39
58,Now i know why this app name is sunwai very useful and justifying app.👍🏻,4,2025-02-03 15:23:14
59,Amažing Features 😊,5,2025-02-03 14:45:05
60,Best of luck,5,2025-02-01 01:21:05
61,Excellent initiative by SBP,5,2025-01-31 17:12:08
62,Best experience,5,2025-01-31 16:59:19
63,"They closed my request 2 times by stating that I haven't provided them required documents, infavt they haven't asked any documents from me, no contact. Third time, they give the reply which Mobilink bank gave to them regarding fake account. No resolution. They are not helpful, and app is pathetic.",1,2025-01-30 17:29:16
64,App active nahi ho rahi,3,2025-01-26 12:25:31
65,Good 😊👍,5,2025-01-23 22:07:35
66,After closing of complaint...no remarks been shared with complaintent by concerned bank... Kindly show remarks of concerned branch. And feedback of that complaint,1,2025-01-22 15:19:39
67,"Worst state bank service. Bloody corrupt organisation. They dont take any action against tbe bank even if you provide evidences in documentary form, and favour the banks specially if they too are at stake.",1,2025-01-15 13:23:00
68,Poor app . No one listens,1,2025-01-11 08:56:45
69,Excellent work by state bank of pakistan and Govt of pakistan..I get my money back from eaisypaisa company.,5,2025-01-10 17:39:39
70,My money stuck from 1 year but not received yet,1,2025-01-08 23:08:19
71,Yaqeen nahi tha masla Hal Hoga easypaisa ne mere paise 2 month say Daba rakhe they or Mera no block ker dya tha mager sunwai men complain ke bad paise wapis mil gay thanks sunwai team easypaisa Sy bach ker Rahe logo ka paisa kha Rahe hen,5,2025-01-08 16:45:54
72,نہایت ہی آ علی ایپ ہے میں بہت ایمپریس ہوا ہوں 👍,5,2025-01-08 01:15:59
73,Best App,5,2025-01-07 09:11:52
74,A fantastic platform for resolving banking issues! Sunwai Portal makes the complaint process seamless and efficient. Highly recommended for anyone facing banking challenges.,5,2025-01-03 21:09:16
75,Best application,5,2025-01-03 17:25:07
76,Great application for the complaints.,5,2025-01-03 17:21:22
77,A good initiative. Makes resolving complaints easier than before.,5,2025-01-03 16:25:47
78,"Waste of time, App is a showpiece, complaints registered are not pursued by SBP.",1,2025-01-03 07:23:24
79,Third class App no response by the bank or not respond by sunwai app shame on state bank team don't waste time the innocent people,1,2024-12-31 00:08:28
80,"Filed an complaint on the app to inquirw branch's unncessary requirements (atleast 2M deposit in current account) for locker. Complaint was closed with remakrs ""Contact Helpline"" which defeats the purpose of this app. No option to reopen complaint.",1,2024-12-30 12:46:12
81,Such a reliable Service they provide absolutely jaw dropping and quick response I've get every time i gave it a try,5,2024-12-20 02:16:08
82,اس ایپ پر کوئی مسائل حل نہیں کیا جاتے,1,2024-12-04 19:15:44
83,Worst Data chore,1,2024-12-01 06:10:29
84,There is no option to reopen the complaint. Banks often close complaints without providing any resolution.,1,2024-11-29 18:15:40
85,Very Good app for bank issues. They resolve issue as soon as possible.,5,2024-11-28 15:08:46
86,Nice app,5,2024-11-28 11:01:55
87,It's great. Thank you so much for bringing this amazing service. My money had been stuck in easypaisa for several months and they were not giving any response but when I registered complaint against them on Sunwai I have got my money in just 2 days. Thank you so much 🙏,5,2024-11-25 18:44:02
88,Nice,5,2024-11-25 17:37:24
89,Excellent work. Thank you,5,2024-11-20 20:27:14
90,App needs to be checked and bugs should be fixed overall good to use and helpful in putting complaints,4,2024-11-19 00:46:11
91,Nice app,5,2024-11-17 17:03:04
92,"I believe this app has great potential....I recently faced an issue where a transaction got stuck, and despite reaching out to my bank, there was no response for three days.....Then, I decided to file a complaint on the Sunwai app..... To my surprise, within 24 hours, not only was my amount refunded, but I also received an apology email from my bank..... I’m really glad it worked....! I hope the app continues to deliver results this effectively.....",5,2024-11-14 11:14:48
93,One of the best compliments medium... Great work.. Cheers,5,2024-11-11 17:07:07
94,Good app,5,2024-11-11 15:42:26
95,Great,5,2024-11-08 19:42:06
96,Sada pay Naya pay application Ki compleain ka option Ni Hai,1,2024-11-07 21:07:59
97,اسلام وعلیکم ورحمة الله وبرکاته سر مجھے افسوس پاکستان کے ادروں پر ہے جوکہ چوروں ٫حرام خوروں ٫ بدمعاشوں٫ اور پاور والے لوگوں کے لیے بنائے گئے ہیں غریب مظلوم عوام صرف اور صرف ان ادروں کو کمپلین کرسکتی ہے ھونا کجھ بھی ادرے صرف امیر آدمی کی تحفظ کیلئے بنائے گئے ہیں سر کچھ تو خدا کا خوف کریں جس مقصد کے لیے انسان کو اس دنیا میں بھیجا ہے جاتے جاتے شاید اپ کو مقصد سمجھ میں آجائے سر میں مختلف دنیاوی پلیٹ فارمز سے غریب کیلئے اپنی آواز بن آواز اٹھاتا ھوں,1,2024-11-05 07:52:26
98,Perfect resolution,5,2024-11-04 10:13:07
